imagen,perimetro_linea_verde,perimetro_linea_roja
resultado_11_8621cm.jpg,8168.14,0
resultado_1_7238cm.jpg,6905.22,0
resultado_Entrada_11_8621cm.jpg,8168.14,0
resultado_Entrada_1_7238cm.jpg,6905.22,0
resultado_Entrada_sincriogenia_105 4_6183cm.jpg,5906.19,0
resultado_Entrada_sincriogenia_107 4_8621cm.jpg,8168.14,0
resultado_Entrada_sincriogenia_109 4_8621cm.jpg,8230.97,0
resultado_Entrada_sincriogenia_111 4_8621cm.jpg,8168.14,0
resultado_Entrada_sincriogenia_113 4_8621cm.jpg,8230.97,0
resultado_Entrada_sincriogenia_115 4_8621cm.jpg,8111.59,0
resultado_Salida_11_7238cm.jpg,6842.39,0
resultado_Salida_1_7414cm.jpg,6961.77,0
resultado_Salida_sincriogenia_103_7446cm.jpg,7056.02,0
resultado_Salida_sincriogenia_107_7358cm.jpg,7024.6,0
resultado_Salida_sincriogenia_109_7414cm.jpg,6961.77,0
resultado_Salida_sincriogenia_111_7446cm.jpg,7112.57,0
resultado_Salida_sincriogenia_113_7446cm.jpg,7112.57,0
resultado_Salida_sincriogenia_115_7295cm.jpg,6905.22,0
